id	organism_name	kingdom	sequence_length	cleavage_site	validation_n	sp_type	transmembrane
Q99MA2	Rattus norvegicus	Metazoa	674	22.0	3	1	
P17948	Homo sapiens	Metazoa	1338	26.0	1	1	
P41271	Homo sapiens	Metazoa	181	16.0	1	1	
Q8I948	Acanthoscurria gomesiana	Metazoa	156	23.0	4	1	
Q92154	Coturnix japonica	Metazoa	620	17.0	4	1	
O46167	Eratigena agrestis	Metazoa	68	17.0	4	1	
Q16552	Homo sapiens	Metazoa	155	23.0	2	1	
Q5XM24	Dictyostelium discoideum	Other	494	18.0	3	1	
Q00802	Bombyx mori	Metazoa	256	17.0	5	1	
O76942	Encephalitozoon cuniculi (strain GB-M1)	Fungi	395	22.0	4	1	
Q02126	Hordeum vulgare	Viridiplantae	330	25.0	5	1	
Q9NRR1	Homo sapiens	Metazoa	136	22.0	4	1	
Q9GU69	Lymnaea stagnalis	Metazoa	64	21.0	4	1	
P56201	Oryctolagus cuniculus	Metazoa	797	24.0	3	1	
P29026	Rhizopus oligosporus	Fungi	540	22.0	3	1	
Q8JFQ0	Bombina maxima	Metazoa	96	19.0	5	1	
O88188	Mus musculus	Metazoa	162	19.0	2	1	
Q9TVX3	Olivierus martensii	Metazoa	61	28.0	3	1	
Q76CA2	Monoplex parthenopeus	Metazoa	275	23.0	4	1	
O18994	Sus scrofa	Metazoa	219	21.0	4	1	
Q6UXD5	Homo sapiens	Metazoa	910	27.0	1	1	
P61916	Homo sapiens	Metazoa	151	19.0	1	1	
Q86T13	Homo sapiens	Metazoa	490	21.0	1	1	
P05067	Homo sapiens	Metazoa	770	17.0	1	1	
P28906	Homo sapiens	Metazoa	385	31.0	1	1	
P18657	Macaca fascicularis	Metazoa	83	26.0	4	1	
P14630	Rattus norvegicus	Metazoa	190	17.0	2	1	
P19427	Bos taurus	Metazoa	201	18.0	2	1	
Q13433	Homo sapiens	Metazoa	755	28.0	1	1	
P33681	Homo sapiens	Metazoa	288	34.0	1	1	
Q91XZ4	Mus musculus	Metazoa	772	28.0	2	1	
P15450	Apis mellifera	Metazoa	53	19.0	5	1	
Q00870	Fusarium solani subsp. phaseoli	Fungi	350	19.0	4	1	
Q92563	Homo sapiens	Metazoa	424	22.0	1	1	
O60844	Homo sapiens	Metazoa	167	16.0	2	1	
I6RA76	Scolopendra mutilans	Metazoa	64	18.0	5	1	
P56829	Ovis aries	Metazoa	195	23.0	4	1	
P82384	Drosophila melanogaster	Metazoa	92	16.0	5	1	
Q8N766	Homo sapiens	Metazoa	993	22.0	2	1	
Q8T0W1	Pimpla hypochondriaca	Metazoa	115	22.0	5	1	
Q9H293	Homo sapiens	Metazoa	177	32.0	1	1	
P0DPU9	Myrmecia gulosa	Metazoa	67	25.0	5	1	
C0HL38	Trichonephila clavata	Metazoa	60	19.0	4	1	
P19594	Glycine max	Viridiplantae	158	21.0	4	1	
P35777	Solenopsis invicta	Metazoa	137	19.0	5	1	
Q9Y240	Homo sapiens	Metazoa	323	21.0	1	1	
Q28862	Bos taurus	Metazoa	310	16.0	4	1	
P13806	Oryctolagus cuniculus	Metazoa	1106	26.0	3	1	
Q62867	Rattus norvegicus	Metazoa	317	24.0	3	1	
Q969J5	Homo sapiens	Metazoa	263	21.0	1	1	
Q7SZI7	Xenopus laevis	Metazoa	1219	22.0	3	1	
P80109	Bos taurus	Metazoa	839	23.0	2	1	
P32478	Saccharomyces cerevisiae (strain ATCC 204508 / S288c)	Fungi	413	18.0	2	1	
P0DL40	Vespa magnifica	Metazoa	67	21.0	5	1	
B2NHN2	Talaromyces funiculosus	Fungi	339	20.0	4	1	
P49259	Bos taurus	Metazoa	1463	20.0	3	1	
Q6X4U4	Homo sapiens	Metazoa	206	23.0	1	1	
P0DKU2	Pandinus imperator	Metazoa	145	15.0	3	1	
Q00193	Oryctolagus cuniculus	Metazoa	540	24.0	3	1	
G1CWH6	Clitoria ternatea	Viridiplantae	122	25.0	4	1	
P25116	Homo sapiens	Metazoa	425	21.0	2	1	
P98066	Homo sapiens	Metazoa	277	17.0	1	1	
Q8MI01	Bos taurus	Metazoa	330	23.0	4	1	
Q94733	Rhodnius prolixus	Metazoa	202	23.0	4	1	
Q9P0V8	Homo sapiens	Metazoa	285	22.0	2	1	
Q96DU3	Homo sapiens	Metazoa	332	21.0	1	1	
P81054	Grifola frondosa	Fungi	348	18.0	3	1	
Q8WPJ2	Mytilus edulis	Metazoa	367	17.0	3	1	
Q9R1T7	Rattus norvegicus	Metazoa	200	20.0	2	1	
Q9UIK5	Homo sapiens	Metazoa	374	40.0	2	1	
P18761	Mus musculus	Metazoa	317	17.0	3	1	
C0HLA0	Chamaecyparis obtusa	Viridiplantae	556	28.0	5	1	
P0C1X6	Tityus discrepans	Metazoa	62	26.0	5	1	
P01500	Apis mellifera	Metazoa	46	27.0	3	1	
P80090	Lymnaea stagnalis	Metazoa	122	29.0	5	1	
Q5JNJ5	Oryza sativa subsp. japonica	Viridiplantae	237	28.0	4	1	
Q61508	Mus musculus	Metazoa	559	19.0	2	1	
P23577	Chlamydomonas reinhardtii	Viridiplantae	317	31.0	4	1	
Q62192	Mus musculus	Metazoa	661	20.0	2	1	
P0DQC1	Scolopendra dehaani	Metazoa	92	20.0	5	1	
P10675	Schistocerca americana	Metazoa	662	24.0	5	1	
P15247	Mus musculus	Metazoa	144	18.0	3	1	
P34998	Homo sapiens	Metazoa	415	23.0	2	1	
P81058	Penaeus vannamei	Metazoa	82	19.0	3	1	
O80323	Pyrus pyrifolia	Viridiplantae	222	22.0	3	1	
Q9UHF4	Homo sapiens	Metazoa	553	29.0	2	1	
I3LGZ3	Sus scrofa	Metazoa	81	24.0	3	1	
Q84V39	Olea europaea	Viridiplantae	123	21.0	4	1	
O35806	Rattus norvegicus	Metazoa	1764	35.0	4	1	
Q61400	Mus musculus	Metazoa	265	33.0	4	1	
Q924B5	Rattus norvegicus	Metazoa	250	25.0	3	1	
P01538	Viscum album	Viridiplantae	111	26.0	5	1	
Q9Y2I2	Homo sapiens	Metazoa	539	28.0	1	1	
P11150	Homo sapiens	Metazoa	499	22.0	1	1	
Q9Y251	Homo sapiens	Metazoa	543	35.0	2	1	
C5P3X6	Coccidioides posadasii (strain C735)	Fungi	276	18.0	4	1	
P55057	Oryctolagus cuniculus	Metazoa	124	27.0	5	1	
B1P0S1	Pseudopleuronectes americanus	Metazoa	218	23.0	4	1	
P25236	Rattus norvegicus	Metazoa	385	19.0	2	1	
P34115	Dictyostelium discoideum	Other	730	20.0	3	1	
P36897	Homo sapiens	Metazoa	503	33.0	1	1	
P38574	Bos taurus	Metazoa	287	18.0	2	1	
P14217	Chlamydomonas reinhardtii	Viridiplantae	647	21.0	5	1	
U6BLZ9	Penicillium canescens	Fungi	463	26.0	3	1	
Q8N441	Homo sapiens	Metazoa	504	24.0	2	1	
P15226	Tityus serrulatus	Metazoa	84	20.0	3	1	
P26780	Sinapis alba	Viridiplantae	99	30.0	5	1	
P05160	Homo sapiens	Metazoa	661	20.0	2	1	
Q6GU94	Centruroides limpidus	Metazoa	56	24.0	4	1	
P20774	Homo sapiens	Metazoa	298	20.0	1	1	
Q9H1M4	Homo sapiens	Metazoa	99	20.0	1	1	
Q05091	Pyrus communis	Viridiplantae	330	24.0	4	1	
P26010	Homo sapiens	Metazoa	798	19.0	1	1	
B3STN5	Nosema bombycis (strain CQ1 / CVCC 102059)	Fungi	278	19.0	5	1	
P22362	Homo sapiens	Metazoa	96	23.0	1	1	
Q01638	Homo sapiens	Metazoa	556	18.0	1	1	
P02780	Rattus norvegicus	Metazoa	95	18.0	4	1	
Q7Z0T3	Aplysia californica	Metazoa	125	22.0	5	1	
P93484	Pisum sativum	Viridiplantae	623	22.0	3	1	
Q8N126	Homo sapiens	Metazoa	398	24.0	1	1	
P52823	Homo sapiens	Metazoa	247	17.0	2	1	
Q84UV8	Nicotiana langsdorffii x Nicotiana sanderae	Viridiplantae	274	25.0	3	1	
Q8WUJ3	Homo sapiens	Metazoa	1361	30.0	2	1	
P54660	Dictyostelium discoideum	Other	143	22.0	2	1	
P14384	Homo sapiens	Metazoa	443	17.0	1	1	
Q4W1I9	Zinnia elegans	Viridiplantae	321	30.0	3	1	
P04844	Homo sapiens	Metazoa	631	22.0	1	1	
Q05895	Mus musculus	Metazoa	956	21.0	3	1	
P01297	Sus scrofa	Metazoa	121	24.0	3	1	
A0A023W145	Ethmostigmus rubripes	Metazoa	88	24.0	5	1	
Q5BGU9	Emericella nidulans (strain FGSC A4 / ATCC 38163 / CBS 112.46 / NRRL 194 / M139)	Fungi	366	18.0	4	1	
F1RRV3	Sus scrofa	Metazoa	2692	19.0	3	1	
Q9SLP4	Tulipa saxatilis subsp. bakeri	Viridiplantae	314	26.0	5	1	
Q8L5J1	Solanum lycopersicum	Viridiplantae	399	26.0	3	1	
Q7M4T0	Neurospora crassa (strain ATCC 24698 / 74-OR23-1A / CBS 708.71 / DSM 1257 / FGSC 987)	Fungi	480	17.0	4	1	
Q3C258	Actinia equina	Metazoa	70	20.0	4	1	
Q76BW5	Oryza sativa subsp. japonica	Viridiplantae	290	25.0	3	1	
P04937	Rattus norvegicus	Metazoa	2477	24.0	2	1	
P81623	Bos taurus	Metazoa	258	29.0	5	1	
P10562	Canavalia gladiata	Viridiplantae	445	26.0	5	1	
Q52085	Heterostelium pallidum	Other	320	19.0	3	1	
O76537	Trichoplusia ni	Metazoa	182	16.0	5	1	
O95633	Homo sapiens	Metazoa	263	26.0	1	1	
P25404	Mirabilis jalapa	Viridiplantae	63	27.0	5	1	
Q64HC7	Armadillidium vulgare	Metazoa	73	19.0	5	1	
P20068	Rattus norvegicus	Metazoa	169	22.0	3	1	
P83313	Opistophthalmus carinatus	Metazoa	82	22.0	4	1	
Q6IUU3	Rattus norvegicus	Metazoa	750	32.0	2	1	
P07457	Zoarces americanus	Metazoa	87	22.0	5	1	
P01830	Rattus norvegicus	Metazoa	161	19.0	3	1	
P15289	Homo sapiens	Metazoa	507	18.0	1	1	
P58154	Lymnaea stagnalis	Metazoa	229	19.0	3	1	
P0C8E7	Rhipicephalus sanguineus	Metazoa	114	20.0	3	1	
Q61789	Mus musculus	Metazoa	3330	31.0	2	1	
P42705	Canis lupus familiaris	Metazoa	352	23.0	4	1	
A6XMY0	Hyas araneus	Metazoa	64	25.0	3	1	
O14786	Homo sapiens	Metazoa	923	21.0	2	1	
Q16568	Homo sapiens	Metazoa	116	27.0	1	1	
P80188	Homo sapiens	Metazoa	198	20.0	1	1	
Q76CE8	Typhula ishikariensis	Fungi	243	20.0	4	1	
P13725	Homo sapiens	Metazoa	252	25.0	1	1	
Q9BQ51	Homo sapiens	Metazoa	273	19.0	1	1	
Q09022	Xenopus laevis	Metazoa	84	18.0	5	1	
Q13145	Homo sapiens	Metazoa	260	20.0	2	1	
Q8MI35	Sus scrofa	Metazoa	152	32.0	5	1	
A6MEY4	Bungarus fasciatus	Metazoa	145	27.0	3	1	
P18181	Mus musculus	Metazoa	240	22.0	2	1	
B0CPC6	Laccaria bicolor (strain S238N-H82 / ATCC MYA-4686)	Fungi	206	21.0	4	1	
O94985	Homo sapiens	Metazoa	981	28.0	1	1	
Q76IQ4	Oncorhynchus mykiss	Metazoa	111	26.0	3	1	
Q9VMD9	Drosophila melanogaster	Metazoa	2188	18.0	3	1	
Q9LLT1	Juniperus virginiana	Viridiplantae	367	21.0	5	1	
Q17058	Apis mellifera	Metazoa	567	17.0	4	1	
Q8I817	Aplysia californica	Metazoa	88	19.0	4	1	
P16636	Rattus norvegicus	Metazoa	411	21.0	2	1	
P35495	Sus scrofa	Metazoa	133	24.0	3	1	
Q9UK23	Homo sapiens	Metazoa	515	25.0	1	1	
O14773	Homo sapiens	Metazoa	563	19.0	1	1	
O43278	Homo sapiens	Metazoa	529	35.0	2	1	
P23389	Bos taurus	Metazoa	646	20.0	2	1	
P07507	Bos taurus	Metazoa	103	19.0	2	1	
Q6UWN5	Homo sapiens	Metazoa	251	25.0	1	1	
Q9H9K5	Homo sapiens	Metazoa	563	26.0	1	1	
